epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5699,1.37595,1.79416,0.99487,0.69196,0.63727,0.70741,0.46825,1.07395,1.10963,0.96355,0.000554115,0.000554115,0.000554115
2,63.838,1.29846,1.18854,0.98,0.6938,0.79312,0.79676,0.51522,1.09335,0.81155,0.95288,0.00109879,0.00109879,0.00109879
3,90.7676,1.2784,1.04749,0.97262,0.79698,0.70006,0.76678,0.53177,0.96742,0.7665,0.93913,0.00163247,0.00163247,0.00163247
4,117.764,1.22544,0.90604,0.96029,0.79675,0.81981,0.87156,0.59565,0.98337,0.70593,0.93928,0.00161749,0.00161749,0.00161749
5,144.39,1.20172,0.82634,0.9517,0.90597,0.75061,0.87782,0.59088,1.00201,0.64376,0.93957,0.00160099,0.00160099,0.00160099
6,170.558,1.17496,0.78527,0.95328,0.94463,0.80705,0.92717,0.63332,0.94163,0.63513,0.92556,0.00158448,0.00158448,0.00158448
7,197.968,1.14932,0.75446,0.94007,0.89228,0.8196,0.906,0.61153,0.97722,0.6288,0.93089,0.00156798,0.00156798,0.00156798
8,228.307,1.12967,0.74302,0.9397,0.84233,0.83724,0.89085,0.62729,0.99302,0.60876,0.93761,0.00155148,0.00155148,0.00155148
9,258.918,1.1403,0.72543,0.93631,0.93476,0.81642,0.88458,0.61684,0.92842,0.61681,0.91263,0.00153497,0.00153497,0.00153497
10,289.418,1.1099,0.70926,0.93013,0.922,0.8259,0.93271,0.65185,0.85763,0.59565,0.89865,0.00151847,0.00151847,0.00151847
11,318.746,1.08282,0.68592,0.92532,0.863,0.83751,0.89691,0.60425,0.94283,0.5909,0.90798,0.00150197,0.00150197,0.00150197
12,348.643,1.064,0.66501,0.91806,0.92917,0.86909,0.94321,0.65968,0.92608,0.54757,0.91321,0.00148546,0.00148546,0.00148546
13,380.218,1.0631,0.64844,0.91824,0.95577,0.85399,0.93506,0.65924,0.9113,0.55311,0.91476,0.00146896,0.00146896,0.00146896
14,412.833,1.05893,0.65468,0.91252,0.93503,0.90382,0.95424,0.67665,0.87226,0.52231,0.91463,0.00145246,0.00145246,0.00145246
15,444.407,1.05901,0.63648,0.91424,0.88621,0.89838,0.94736,0.67216,0.88072,0.53759,0.91432,0.00143595,0.00143595,0.00143595
16,475.675,1.04212,0.6257,0.91087,0.91715,0.86303,0.92067,0.65766,0.91473,0.53994,0.90673,0.00141945,0.00141945,0.00141945
17,506.748,1.03622,0.61012,0.91165,0.89218,0.87784,0.94328,0.64374,0.92328,0.53835,0.91431,0.00140295,0.00140295,0.00140295
18,534.127,1.01733,0.60914,0.90629,0.93064,0.81133,0.91267,0.67889,0.85364,0.5259,0.89989,0.00138644,0.00138644,0.00138644
19,561.45,1.01568,0.60034,0.90279,0.8944,0.86054,0.91187,0.67429,0.82803,0.51911,0.89838,0.00136994,0.00136994,0.00136994
20,591.485,0.99969,0.58587,0.9043,0.94673,0.88937,0.95313,0.67332,0.88539,0.5416,0.91049,0.00135344,0.00135344,0.00135344
21,620.096,1.01153,0.59075,0.8982,0.94035,0.86002,0.93442,0.67041,0.90154,0.54378,0.91068,0.00133693,0.00133693,0.00133693
22,647.164,0.98863,0.57787,0.89563,0.91302,0.89537,0.94082,0.67055,0.87114,0.49923,0.90848,0.00132043,0.00132043,0.00132043
23,674.843,0.99018,0.59017,0.89867,0.94992,0.9241,0.96035,0.70137,0.84381,0.49434,0.89496,0.00130393,0.00130393,0.00130393
24,702.617,0.96849,0.57116,0.89345,0.88437,0.95501,0.95257,0.70563,0.85601,0.49138,0.89207,0.00128742,0.00128742,0.00128742
